"match_id","date","team1","team2","venue","toss_winner","toss_decision","powerplay_runs","death_overs_runs","toss_win_helped","outcome_label","head_to_head_win_pct"
"1142918","2018-07-06","Zimbabwe","Australia","Harare Sports Club","Zimbabwe","bat","49","37",0,0,"50.00"
"518955","2012-02-03","Australia","India","Melbourne Cricket Ground","Australia","bat","42","25",0,0,"66.67"
"1230855","2020-09-21","England","West Indies","County Ground","England","bat","48","26",1,1,"50.00"
"966759","2016-03-02","Bangladesh","Pakistan","Shere Bangla National Stadium","Pakistan","bat","24","38",1,0,"36.36"
"722337","2015-01-11","South Africa","West Indies","New Wanderers Stadium","West Indies","field","73","33",1,0,"36.36"
"1182653","2019-05-08","Namibia","Sierra Leone","Takashinga Sports Club","Sierra Leone","bat","18","7",1,0,"100.00"
"1085495","2017-04-01","West Indies","Pakistan","Queen's Park Oval, Port of Spain","Pakistan","bat","44","21",1,0,"45.45"
"1190608","2019-06-29","Germany","Scotland","La Manga Club Top Ground","Germany","field","46","18",1,1,NULL
"966761","2016-03-03","India","United Arab Emirates","Shere Bangla National Stadium","United Arab Emirates","bat","25","19",1,0,NULL
"682955","2014-03-31","New Zealand","Sri Lanka","Zahur Ahmed Chowdhury Stadium","New Zealand","field","30","26",1,1,"46.15"
"951341","2016-03-19","India","Pakistan","Eden Gardens","India","field","31","15",0,0,"45.45"
"534235","2012-09-12","England","South Africa","Edgbaston","South Africa","field","36",NULL,0,1,"25.00"
"1198236","2020-09-06","Australia","England","The Rose Bowl","Australia","bat","40","47",0,0,"44.19"
"914221","2016-01-15","New Zealand","Pakistan","Eden Park","New Zealand","field","54","37",1,1,"66.67"
"682903","2014-03-17","Netherlands","United Arab Emirates","Sylhet Stadium","United Arab Emirates","bat","38","20",1,0,NULL
"1197407","2019-08-25","Bermuda","Cayman Islands","White Hill Field, Sandys Parish","Cayman Islands","bat","30","22",1,0,"0.00"
"659545","2013-08-23","Zimbabwe","Pakistan","Harare Sports Club","Zimbabwe","field","38","37",1,1,"100.00"
"1148060","2018-06-09","Pakistan","India","Kinrara Academy Oval","Pakistan","bat","21","23",0,0,"50.00"
"682941","2014-03-28","Australia","West Indies","Shere Bangla National Stadium","Australia","bat","46","46",0,0,"72.73"
"645645","2013-07-27","West Indies","Pakistan","Arnos Vale Ground, Kingstown","West Indies","bat","45","54",0,0,"100.00"
"1157377","2018-11-04","Pakistan","New Zealand","Dubai International Cricket Stadium","Pakistan","bat","37","43",1,1,"36.00"
